,from,to,from_xy,to_xy,walking,driving,lat,long
356,14,21,"(11.25433, 43.77003)","(11.251878999999999, 43.777276)",653.2,508,43.77003,11.25433
357,14,22,"(11.25433, 43.77003)","(11.258814, 43.776761)",934.2,568.2,43.77003,11.25433
358,14,23,"(11.25433, 43.77003)","(11.264658, 43.77151)",691.1,601.7,43.77003,11.25433
359,14,-1,"(11.25433, 43.77003)","(11.247123, 43.772557)",595.9,597,43.77003,11.25433
360,15,0,"(11.255230000000001, 43.77313)","(11.255693199999998, 43.772858299999996)",635.3,0,43.77313,11.255230000000001
361,15,1,"(11.255230000000001, 43.77313)","(11.2564189, 43.771534100000004)",650,291.1,43.77313,11.255230000000001
362,15,2,"(11.255230000000001, 43.77313)","(11.250781, 43.7700828)",789.7,589.8,43.77313,11.255230000000001
363,15,3,"(11.255230000000001, 43.77313)","(11.2534118, 43.7769185)",409.5,345.4,43.77313,11.255230000000001
364,15,4,"(11.255230000000001, 43.77313)","(11.255579699999998, 43.763469)",1407.5,814.7,43.77313,11.255230000000001
365,15,5,"(11.255230000000001, 43.77313)","(11.2553108, 43.7677856)",966.4,439.8,43.77313,11.255230000000001
366,15,6,"(11.255230000000001, 43.77313)","(11.255431699999999, 43.7708275)",751.3,98.2,43.77313,11.255230000000001
367,15,7,"(11.255230000000001, 43.77313)","(11.255705099999998, 43.772806)",635.3,0,43.77313,11.255230000000001
368,15,8,"(11.255230000000001, 43.77313)","(11.2531435, 43.767925)",948.1,469.7,43.77313,11.255230000000001
369,15,9,"(11.255230000000001, 43.77313)","(11.2541477, 43.7681911)",947.1,458.7,43.77313,11.255230000000001
370,15,10,"(11.255230000000001, 43.77313)","(11.250670199999998, 43.767161200000004)",1050.9,657.5,43.77313,11.255230000000001
371,15,11,"(11.255230000000001, 43.77313)","(11.2554649, 43.7730912)",0,0,43.77313,11.255230000000001
372,15,12,"(11.255230000000001, 43.77313)","(11.24938, 43.77463)",505.1,522.4,43.77313,11.255230000000001
373,15,13,"(11.255230000000001, 43.77313)","(11.26282, 43.76298)",1522.1,712.7,43.77313,11.255230000000001
374,15,14,"(11.255230000000001, 43.77313)","(11.25433, 43.77003)",761.7,156.5,43.77313,11.255230000000001
375,15,16,"(11.255230000000001, 43.77313)","(11.25564, 43.76968)",812.4,130.7,43.77313,11.255230000000001
376,15,17,"(11.255230000000001, 43.77313)","(11.248335, 43.762288)",1651.8,931.2,43.77313,11.255230000000001
377,15,18,"(11.255230000000001, 43.77313)","(11.264966000000001, 43.762705)",1779.1,696.2,43.77313,11.255230000000001
378,15,19,"(11.255230000000001, 43.77313)","(11.255056, 43.773106)",702.2,0,43.77313,11.255230000000001
379,15,20,"(11.255230000000001, 43.77313)","(11.256192, 43.769292)",830,294.2,43.77313,11.255230000000001
380,15,21,"(11.255230000000001, 43.77313)","(11.251878999999999, 43.777276)",407.5,376.1,43.77313,11.255230000000001
381,15,22,"(11.255230000000001, 43.77313)","(11.258814, 43.776761)",366.1,301.6,43.77313,11.255230000000001
382,15,23,"(11.255230000000001, 43.77313)","(11.264658, 43.77151)",693,327.7,43.77313,11.255230000000001
383,15,-1,"(11.255230000000001, 43.77313)","(11.247123, 43.772557)",783.3,753.5,43.77313,11.255230000000001
384,16,0,"(11.25564, 43.76968)","(11.255693199999998, 43.772858299999996)",335.2,130.7,43.76968,11.25564
385,16,1,"(11.25564, 43.76968)","(11.2564189, 43.771534100000004)",218.8,377.6,43.76968,11.25564
386,16,2,"(11.25564, 43.76968)","(11.250781, 43.7700828)",370.6,483.6,43.76968,11.25564
387,16,3,"(11.25564, 43.76968)","(11.2534118, 43.7769185)",868.7,431.6,43.76968,11.25564
388,16,4,"(11.25564, 43.76968)","(11.255579699999998, 43.763469)",741.2,765.6,43.76968,11.25564
389,16,5,"(11.25564, 43.76968)","(11.2553108, 43.7677856)",154,390.7,43.76968,11.25564
