index,from,to,from_xy,to_xy,walking,driving,lat,long
116,8,-1,"11.2531435, 43.767925","11.251184, 43.770312",292.4,483,11.2531435,43.767925
117,9,0,"11.2541477, 43.7681911","11.255693199999998, 43.772858299999996",465.9,638.7,11.2541477,43.7681911
118,9,1,"11.2541477, 43.7681911","11.2564189, 43.771534100000004",413.4,878.6,11.2541477,43.7681911
119,9,2,"11.2541477, 43.7681911","11.250781, 43.7700828",275.5,522.9,11.2541477,43.7681911
120,9,3,"11.2541477, 43.7681911","11.2534118, 43.7769185",889.1,1172.2,11.2541477,43.7681911
121,9,4,"11.2541477, 43.7681911","11.255579699999998, 43.763469",547.6,1207.8,11.2541477,43.7681911
122,9,5,"11.2541477, 43.7681911","11.2553108, 43.7677856",77.3,1314.9,11.2541477,43.7681911
123,9,6,"11.2541477, 43.7681911","11.255431699999999, 43.7708275",309.2,693.1,11.2541477,43.7681911
124,9,7,"11.2541477, 43.7681911","11.255705099999998, 43.772806",465.9,638.7,11.2541477,43.7681911
125,9,8,"11.2541477, 43.7681911","11.2531435, 43.767925",88.2,22.6,11.2541477,43.7681911
126,9,10,"11.2541477, 43.7681911","11.250670199999998, 43.767161200000004",287.4,217.4,11.2541477,43.7681911
127,9,11,"11.2541477, 43.7681911","11.2554649, 43.7730912",947.2,638.7,11.2541477,43.7681911
128,9,12,"11.2541477, 43.7681911","11.24938, 43.77463",733.8,708.5,11.2541477,43.7681911
129,9,-1,"11.2541477, 43.7681911","11.251184, 43.770312",291.4,505.6,11.2541477,43.7681911
130,10,0,"11.250670199999998, 43.767161200000004","11.255693199999998, 43.772858299999996",666.1,604.4,11.2506702,43.7671612
131,10,1,"11.250670199999998, 43.767161200000004","11.2564189, 43.771534100000004",613.6,844.3,11.2506702,43.7671612
132,10,2,"11.250670199999998, 43.767161200000004","11.250781, 43.7700828",261.2,488.6,11.2506702,43.7671612
133,10,3,"11.250670199999998, 43.767161200000004","11.2534118, 43.7769185",992.9,1137.9,11.2506702,43.7671612
134,10,4,"11.250670199999998, 43.767161200000004","11.255579699999998, 43.763469",528.1,1173.5,11.2506702,43.7671612
135,10,5,"11.250670199999998, 43.767161200000004","11.2553108, 43.7677856",364.7,1280.6,11.2506702,43.7671612
136,10,6,"11.250670199999998, 43.767161200000004","11.255431699999999, 43.7708275",509.4,658.8,11.2506702,43.7671612
137,10,7,"11.250670199999998, 43.767161200000004","11.255705099999998, 43.772806",666.1,604.4,11.2506702,43.7671612
138,10,8,"11.250670199999998, 43.767161200000004","11.2531435, 43.767925",199.2,1325.7,11.2506702,43.7671612
139,10,9,"11.250670199999998, 43.767161200000004","11.2541477, 43.7681911",287.4,1303.1,11.2506702,43.7671612
140,10,11,"11.250670199999998, 43.767161200000004","11.2554649, 43.7730912",1051,604.4,11.2506702,43.7671612
141,10,12,"11.250670199999998, 43.767161200000004","11.24938, 43.77463",744.3,674.2,11.2506702,43.7671612
142,10,-1,"11.250670199999998, 43.767161200000004","11.251184, 43.770312",291.7,471.3,11.2506702,43.7671612
143,11,0,"11.2554649, 43.7730912","11.255693199999998, 43.772858299999996",635.4,0,11.2554649,43.7730912
144,11,1,"11.2554649, 43.7730912","11.2564189, 43.771534100000004",650,291,11.2554649,43.7730912
145,11,2,"11.2554649, 43.7730912","11.250781, 43.7700828",789.8,708.1,11.2554649,43.7730912
146,11,3,"11.2554649, 43.7730912","11.2534118, 43.7769185",409.5,656.6,11.2554649,43.7730912
147,11,4,"11.2554649, 43.7730912","11.255579699999998, 43.763469",1407.6,932.9,11.2554649,43.7730912
148,11,5,"11.2554649, 43.7730912","11.2553108, 43.7677856",966.4,480.2,11.2554649,43.7730912
149,11,6,"11.2554649, 43.7730912","11.255431699999999, 43.7708275",751.4,98.2,11.2554649,43.7730912
150,11,7,"11.2554649, 43.7730912","11.255705099999998, 43.772806",635.4,0,11.2554649,43.7730912
151,11,8,"11.2554649, 43.7730912","11.2531435, 43.767925",948.2,525.3,11.2554649,43.7730912
152,11,9,"11.2554649, 43.7730912","11.2541477, 43.7681911",947.2,502.7,11.2554649,43.7730912
153,11,10,"11.2554649, 43.7730912","11.250670199999998, 43.767161200000004",1051,720.1,11.2554649,43.7730912
154,11,12,"11.2554649, 43.7730912","11.24938, 43.77463",505.1,920,11.2554649,43.7730912
155,11,-1,"11.2554649, 43.7730912","11.251184, 43.770312",773.5,690.8,11.2554649,43.7730912
156,12,0,"11.24938, 43.77463","11.255693199999998, 43.772858299999996",519.4,336.9,11.24938,43.77463
157,12,1,"11.24938, 43.77463","11.2564189, 43.771534100000004",581.2,576.8,11.24938,43.77463
158,12,2,"11.24938, 43.77463","11.250781, 43.7700828",483.1,411.8,11.24938,43.77463
159,12,3,"11.24938, 43.77463","11.2534118, 43.7769185",376,845.1,11.24938,43.77463
160,12,4,"11.24938, 43.77463","11.255579699999998, 43.763469",1194.2,1446.8,11.24938,43.77463
161,12,5,"11.24938, 43.77463","11.2553108, 43.7677856",807.7,1001.8,11.24938,43.77463
162,12,6,"11.24938, 43.77463","11.255431699999999, 43.7708275",573.6,391.3,11.24938,43.77463
163,12,7,"11.24938, 43.77463","11.255705099999998, 43.772806",519.4,336.9,11.24938,43.77463
164,12,8,"11.24938, 43.77463","11.2531435, 43.767925",734.8,1046.9,11.24938,43.77463
165,12,9,"11.24938, 43.77463","11.2541477, 43.7681911",733.8,1024.3,11.24938,43.77463
166,12,10,"11.24938, 43.77463","11.250670199999998, 43.767161200000004",744.3,560.9,11.24938,43.77463
167,12,11,"11.24938, 43.77463","11.2554649, 43.7730912",505.1,336.9,11.24938,43.77463
168,12,-1,"11.24938, 43.77463","11.251184, 43.770312",466.8,394.5,11.24938,43.77463
169,-1,0,"11.251184, 43.770312","11.255693199999998, 43.772858299999996",451.3,266.9,11.251184,43.770312
170,-1,1,"11.251184, 43.770312","11.2564189, 43.771534100000004",402.4,506.8,11.251184,43.770312
171,-1,2,"11.251184, 43.770312","11.250781, 43.7700828",30.5,17.3,11.251184,43.770312
172,-1,3,"11.251184, 43.770312","11.2534118, 43.7769185",715.4,872.4,11.251184,43.770312
173,-1,4,"11.251184, 43.770312","11.255579699999998, 43.763469",751.8,1512,11.251184,43.770312
174,-1,5,"11.251184, 43.770312","11.2553108, 43.7677856",365.3,703.3,11.251184,43.770312
175,-1,6,"11.251184, 43.770312","11.255431699999999, 43.7708275",306.7,321.3,11.251184,43.770312
176,-1,7,"11.251184, 43.770312","11.255705099999998, 43.772806",451.3,266.9,11.251184,43.770312
177,-1,8,"11.251184, 43.770312","11.2531435, 43.767925",292.4,748.4,11.251184,43.770312
178,-1,9,"11.251184, 43.770312","11.2541477, 43.7681911",291.4,725.8,11.251184,43.770312
179,-1,10,"11.251184, 43.770312","11.250670199999998, 43.767161200000004",291.7,626.1,11.251184,43.770312
180,-1,11,"11.251184, 43.770312","11.2554649, 43.7730912",773.5,266.9,11.251184,43.770312
181,-1,12,"11.251184, 43.770312","11.24938, 43.77463",466.8,607.6,11.251184,43.770312
